Index,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),Outlier,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,Log2-SiteEnergyUseWN(kBtu)
2228,2016,NonResidential,Self-Storage Facility,6,NORTHWEST,1990,1.0,2.0,71874,31389,40485,Self-Storage Facility,71874.0,No Use,0.0,No Use,0.0,,1393424.5,Normal,47.70281,-122.35623,44.97,0.63,20.410204439613945
2231,2016,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,1971,1.0,2.0,39953,0,39953,Office,30100.0,No Use,0.0,No Use,0.0,93.0,1608929.125,Normal,47.60104,-122.30155,28.05,0.7,20.61767024124944
2234,2016,NonResidential,Retail Store,3,CENTRAL,1998,1.0,2.0,21200,0,21200,Retail Store,14168.0,Office,7032.0,No Use,0.0,15.0,1652954.75,Normal,47.60009,-122.3017,11.69,0.55,20.656616673198172
2235,2016,NonResidential,Supermarket / Grocery Store,3,CENTRAL,1980,1.0,1.0,30630,0,30630,Supermarket/Grocery Store,28470.0,Other,2442.0,No Use,0.0,27.0,6194518.0,Normal,47.59881,-122.30189,42.24,1.38,22.562560831794038
2236,2016,NonResidential,Retail Store,3,CENTRAL,1980,1.0,2.0,23421,0,23421,Retail Store,19271.0,Bank Branch,4150.0,No Use,0.0,25.0,1955353.0,Normal,47.59881,-122.30189,13.22,0.56,20.898998388013577
2239,2016,SPS-District K-12,K-12 School,6,BALLARD,1931,1.0,3.0,117116,0,117116,K-12 School,117116.0,No Use,0.0,No Use,0.0,83.0,6499178.0,Normal,47.6763,-122.38051,256.31,2.19,22.631826052474864
2240,2016,NonResidential,Worship Facility,6,BALLARD,1928,1.0,2.0,24120,0,24120,Worship Facility,24120.0,No Use,0.0,No Use,0.0,66.0,1024822.188,Normal,47.67628,-122.38238,31.54,1.31,19.96694359339715
2241,2016,NonResidential,Worship Facility,6,BALLARD,1929,1.0,3.0,35736,0,35736,Worship Facility,28970.0,Office,6766.0,No Use,0.0,88.0,1342448.875,Normal,47.6764,-122.38502,51.15,1.43,20.356436790541213
2244,2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1941,1.0,1.0,51050,0,51050,Non-Refrigerated Warehouse,49500.0,No Use,0.0,No Use,0.0,10.0,1355995.25,Normal,47.57298,-122.33644,27.75,0.54,20.37092175803893
2245,2016,NonResidential,Retail Store,2,GREATER DUWAMISH,1954,1.0,2.0,21900,0,21900,Retail Store,21900.0,No Use,0.0,No Use,0.0,40.0,1439042.25,Normal,47.57044,-122.33475,42.66,1.95,20.456678521807426
