Index,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),Outlier,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,Log2-SiteEnergyUseWN(kBtu)
0,2016,NonResidential,Hotel,7,DOWNTOWN,1927,1.0,12.0,88434,0,88434,Hotel,88434.0,No Use,0.0,No Use,0.0,60.0,7456910.0,Normal,47.6122,-122.33799,249.98,2.83,22.830146692043865
3,2016,NonResidential,Hotel,7,DOWNTOWN,1926,1.0,10.0,61320,0,61320,Hotel,61320.0,No Use,0.0,No Use,0.0,56.0,6946800.5,Normal,47.61412,-122.33664,286.43,4.67,22.72791744324119
5,2016,Nonresidential COS,Other,7,DOWNTOWN,1999,1.0,2.0,97288,37198,60090,Police Station,88830.0,No Use,0.0,No Use,0.0,,12581712.0,Normal,47.61623,-122.33657,301.81,3.1,23.584825022705463
6,2016,NonResidential,Hotel,7,DOWNTOWN,1926,1.0,11.0,83008,0,83008,Hotel,81352.0,No Use,0.0,No Use,0.0,27.0,6062767.5,Normal,47.6139,-122.33283,176.14,2.12,22.531545305126283
7,2016,NonResidential,Other,7,DOWNTOWN,1926,1.0,8.0,102761,0,102761,Other - Entertainment/Public Assembly,102761.0,No Use,0.0,No Use,0.0,,7067881.5,Normal,47.61327,-122.33136,221.51,2.16,22.752846625331934
8,2016,NonResidential,Hotel,7,DOWNTOWN,1904,1.0,15.0,163984,0,163984,Hotel,163984.0,No Use,0.0,No Use,0.0,43.0,14194054.0,Normal,47.60294,-122.33263,392.16,2.39,23.758783465919382
10,2016,NonResidential,Hotel,7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,Hotel,133884.0,No Use,0.0,No Use,0.0,30.0,16646930.0,Normal,47.60695,-122.33414,691.26,4.51,23.988752893208332
11,2016,NonResidential,Hotel,7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,Hotel,336640.0,No Use,0.0,No Use,0.0,36.0,27070114.0,Normal,47.60713,-122.33323,740.97,2.22,24.69019768067381
12,2016,NonResidential,Hotel,7,DOWNTOWN,1928,1.0,9.0,65009,0,65009,Hotel,65009.0,No Use,0.0,No Use,0.0,48.0,6358719.5,Normal,47.60699,-122.33346,328.23,5.05,22.600305065335228
13,2016,NonResidential,Hotel,7,DOWNTOWN,1980,1.0,33.0,315952,57600,258352,Hotel,295511.0,Parking,57600.0,No Use,0.0,58.0,22524948.0,Normal,47.60809,-122.33212,648.62,2.05,24.425020503767314
14,2016,NonResidential,Hotel,7,DOWNTOWN,1922,1.0,11.0,92190,25200,66990,Hotel,67390.0,Parking,25200.0,No Use,0.0,35.0,11179203.0,Normal,47.60755,-122.33244,511.39,5.55,23.414314130913553
15,2016,Nonresidential COS,Other,7,DOWNTOWN,2004,1.0,11.0,412000,57000,355000,Library,364913.0,Parking,49000.0,Data Center,1074.0,,18706912.0,Normal,47.60649,-122.33297,181.38,0.44,24.157068170035785
16,2016,NonResidential,Other,7,DOWNTOWN,1930,1.0,6.0,103911,0,103911,Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,10192124.0,Normal,47.60546,-122.33279,433.86,4.18,23.28095154077379
18,2016,NonResidential,Mixed Use Property,7,DOWNTOWN,1907,1.0,5.0,57452,0,57452,Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,7877219.0,Normal,47.60515,-122.33159,273.02,4.75,22.909255138111163
19,2016,NonResidential,Hotel,7,DOWNTOWN,1916,1.0,10.0,104352,0,104352,Hotel,104352.0,No Use,0.0,No Use,0.0,39.0,10154608.0,Normal,47.60376,-122.33194,349.32,3.35,23.275631354399913
22,2016,SPS-District K-12,K-12 School,2,SOUTHEAST,1961,1.0,2.0,56228,0,56228,K-12 School,58916.0,No Use,0.0,No Use,0.0,95.0,1713623.5,Normal,47.54576,-122.26853,38.53,0.69,20.70861958114486
23,2016,NonResidential,Hotel,4,NORTHEAST,2001,1.0,6.0,88592,30586,58006,Hotel,58006.0,Parking,30586.0,No Use,0.0,84.0,3673186.75,Normal,47.65959,-122.31755,90.01,1.02,21.808601208674805
24,2016,NonResidential,University,7,DOWNTOWN,1928,1.0,7.0,126593,0,126593,College/University,125000.0,No Use,0.0,No Use,0.0,,12183313.0,Normal,47.61816,-122.33629,388.04,3.07,23.538403280300685
25,2016,NonResidential,Other,7,DOWNTOWN,1930,1.0,2.0,67224,0,67224,Automobile Dealership,67224.0,No Use,0.0,No Use,0.0,,1310236.625,Normal,47.615,-122.33081,9.13,0.14,20.321397052323707
26,2016,NonResidential,Hotel,7,EAST,1991,1.0,8.0,158676,30301,128375,Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,5424942.0,Normal,47.61301,-122.32929,256.57,1.62,22.37117654853118
27,2016,NonResidential,Hotel,7,DOWNTOWN,2001,1.0,10.0,171866,38281,133585,Hotel,128909.0,No Use,0.0,No Use,0.0,57.0,11171407.0,Normal,47.61784,-122.32966,328.63,1.91,23.413307693058975
29,2016,NonResidential,Hotel,7,DOWNTOWN,1978,1.0,5.0,68410,16200,52210,Hotel,47994.0,No Use,0.0,No Use,0.0,57.0,4557974.0,Normal,47.61558,-122.34186,128.44,1.88,22.11996158092279
30,2016,SPS-District K-12,K-12 School,5,NORTH,1949,1.0,2.0,160645,0,160645,K-12 School,164229.0,No Use,0.0,No Use,0.0,75.0,7800349.5,Normal,47.70994,-122.29301,270.18,1.68,22.895107520638923
31,2016,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,1989,1.0,2.0,51582,0,51582,K-12 School,55166.0,No Use,0.0,No Use,0.0,,0.0,Normal,47.6329,-122.35172,10.43,0.2,0.0
32,2016,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,1906,1.0,3.0,87262,0,87262,Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,4703690.0,Normal,47.6641,-122.33118,157.77,1.81,22.16536185751502
33,2016,NonResidential,Hotel,4,NORTHEAST,1994,1.0,4.0,81871,0,81871,Hotel,81871.0,No Use,0.0,No Use,0.0,29.0,6731281.5,Normal,47.66583,-122.29965,215.0,2.63,22.68244997462271
34,2016,NonResidential,Self-Storage Facility,4,NORTHEAST,1955,1.0,2.0,110356,0,110356,Self-Storage Facility,26225.0,No Use,0.0,No Use,0.0,,326223.0938,Normal,47.66172,-122.29598,3.93,0.04,18.315503812961524
37,2016,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,1990,1.0,2.0,54986,0,54986,K-12 School,54986.0,No Use,0.0,No Use,0.0,97.0,1802471.375,Normal,47.65671,-122.39047,31.47,0.57,20.781545717968683
38,2016,SPS-District K-12,K-12 School,4,NORTHEAST,1950,1.0,2.0,175565,0,175565,K-12 School,182861.0,No Use,0.0,No Use,0.0,88.0,7329817.5,Normal,47.68252,-122.29498,266.05,1.52,22.805346044301018
39,2016,NonResidential,Small- and Mid-Sized Office,6,BALLARD,1961,1.0,2.0,94900,0,94900,Office,55586.0,Non-Refrigerated Warehouse,39314.0,No Use,0.0,57.0,6536359.5,Normal,47.66587,-122.38476,130.56,1.38,22.64005612398581
40,2016,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1900,1.0,2.0,52554,0,52554,Office,51029.0,Other - Education,7849.0,No Use,0.0,83.0,3150635.5,Normal,47.58034,-122.31132,83.86,1.6,21.58721188448627
41,2016,NonResidential,K-12 School,6,NORTHWEST,1954,1.0,3.0,175015,0,175015,K-12 School,175015.0,No Use,0.0,No Use,0.0,95.0,7886505.5,Normal,47.68891,-122.33553,247.85,1.42,22.91095493784406
42,2016,NonResidential,Self-Storage Facility,7,DOWNTOWN,1911,1.0,3.0,70586,0,70586,Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,,2331573.25,Normal,47.61351,-122.35129,45.43,0.64,21.152872942987024
43,2016,NonResidential,Hotel,7,DOWNTOWN,1969,1.0,24.0,332210,205970,126240,Hotel,348630.0,No Use,0.0,No Use,0.0,67.0,16163194.0,Normal,47.60946,-122.33337,295.33,0.89,23.946209069915817
45,2016,NonResidential,Other,7,DOWNTOWN,1920,1.0,2.0,57428,0,57428,Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,No Use,0.0,,1239429.75,Normal,47.61076,-122.33765,33.26,0.58,20.241246236131992
46,2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1910,1.0,8.0,59400,0,59400,Office,34947.0,Retail Store,4993.0,No Use,0.0,14.0,5242479.5,Normal,47.61048,-122.33794,35.36,0.6,22.321818159388414
47,2016,NonResidential,Mixed Use Property,7,DOWNTOWN,1926,1.0,2.0,52549,0,52549,Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,,15683742.0,Normal,47.60886,-122.33744,584.31,11.12,23.902766570802285
52,2016,NonResidential,Hotel,7,LAKE UNION,1959,1.0,5.0,113173,42546,70627,Hotel,70627.0,Parking,42546.0,No Use,0.0,86.0,5428403.5,Normal,47.61986,-122.34413,144.79,1.28,22.372096797155557
53,2016,NonResidential,Hotel,7,LAKE UNION,2000,1.0,7.0,150453,34735,115718,Hotel,107547.0,Restaurant,3000.0,No Use,0.0,84.0,6835263.5,Normal,47.62001,-122.34274,199.95,1.33,22.7045657353128
54,2016,NonResidential,Hotel,7,LAKE UNION,1997,1.0,6.0,116300,28200,88100,Hotel,88490.0,Parking,28300.0,No Use,0.0,80.0,5941927.0,Normal,47.62025,-122.34314,162.39,1.4,22.50249969306494
55,2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,1998,1.0,6.0,155602,36744,118858,Hotel,155602.0,No Use,0.0,No Use,0.0,81.0,6849826.5,Normal,47.62023,-122.35951,152.76,0.98,22.70763622629834
56,2016,NonResidential,K-12 School,3,EAST,1911,1.0,3.0,56072,0,56072,K-12 School,56072.0,No Use,0.0,No Use,0.0,76.0,3800842.5,Normal,47.63442,-122.30793,146.34,2.61,21.85788819267661
57,2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,1999,1.0,4.0,122942,44891,78051,Hotel,78051.0,Parking,44891.0,No Use,0.0,94.0,5387530.0,Normal,47.62519,-122.34456,171.64,1.4,22.361192834856322
58,2016,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,1962,1.0,2.0,54984,0,54984,Office,54984.0,No Use,0.0,No Use,0.0,71.0,3630147.25,Normal,47.60823,-122.30956,87.98,1.6,21.7915970363255
60,2016,NonResidential,Senior Care Community,5,NORTHWEST,1970,1.0,2.0,93397,0,93397,Senior Care Community,93397.0,No Use,0.0,No Use,0.0,1.0,16959754.0,Normal,47.72426,-122.35599,609.1,6.52,24.015611993143423
61,2016,NonResidential,Hotel,7,LAKE UNION,2008,1.0,6.0,84103,20732,63371,Hotel,63371.0,Parking,20732.0,No Use,0.0,74.0,3787499.0,Normal,47.61988,-122.33211,67.06,0.8,21.852814457909762
63,2016,NonResidential,Medical Office,3,EAST,1965,1.0,3.0,179014,0,179014,Medical Office,179014.0,No Use,0.0,No Use,0.0,48.0,16527711.0,Normal,47.61244,-122.3214,430.84,2.41,23.97838368438195
64,2016,NonResidential,Hotel,3,EAST,1908,1.0,7.0,76631,0,76631,Hotel,76631.0,No Use,0.0,No Use,0.0,71.0,7250730.5,Normal,47.60898,-122.32693,262.75,3.43,22.789695120063655
65,2016,NonResidential,Mixed Use Property,3,EAST,1983,1.0,6.0,99780,9341,90439,Medical Office,40174.0,Parking,20868.0,Office,17020.0,,15684371.0,Normal,47.60845,-122.32637,481.97,4.83,23.902824429247453
66,2016,NonResidential,Retail Store,7,LAKE UNION,1929,1.0,2.0,58320,0,58320,Retail Store,72072.0,No Use,0.0,No Use,0.0,96.0,1243027.75,Normal,47.62237,-122.33805,39.06,0.67,20.245428234180185
68,2016,NonResidential,Hotel,3,LAKE UNION,1990,1.0,7.0,282863,44766,238097,Hotel,235788.0,Parking,51537.0,No Use,0.0,37.0,20194606.0,Normal,47.62642,-122.33325,526.85,1.86,24.26746673475524
69,2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1962,1.0,1.0,389000,0,389000,Other,368000.0,No Use,0.0,No Use,0.0,,23736924.0,Normal,47.62208,-122.35398,607.41,1.56,24.500629717363733
70,2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1962,1.0,1.0,91213,0,91213,Other,65000.0,No Use,0.0,No Use,0.0,,8181881.0,Normal,47.62208,-122.35398,344.2,3.77,22.964001299993985
73,2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1962,1.0,2.0,52000,0,52000,Other,52000.0,No Use,0.0,No Use,0.0,,2682242.75,Normal,47.62395,-122.35077,101.83,1.96,21.35500891802713
74,2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1928,1.0,1.0,60696,0,60696,Other,108000.0,No Use,0.0,No Use,0.0,,875943.3125,Normal,47.62395,-122.35077,6.11,0.1,19.740479628927854
75,2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1928,1.0,2.0,262048,0,262048,Other,296000.0,No Use,0.0,No Use,0.0,,20823520.0,Normal,47.62395,-122.35143,490.73,1.87,24.311710695373126
76,2016,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1986,1.0,2.0,66240,2352,63888,Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,,4192107.75,Normal,47.62391,-122.34837,29.04,0.44,21.999244712499788
79,2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,2002,1.0,6.0,96910,36934,59976,Hotel,59976.0,Parking,36934.0,No Use,0.0,56.0,5274523.0,Normal,47.62291,-122.35708,152.14,1.57,22.330609472845378
80,2016,NonResidential,Hotel,4,NORTHEAST,1962,2.0,4.0,50017,0,50017,Hotel,50017.0,Swimming Pool,0.0,No Use,0.0,53.0,5528580.5,Normal,47.65772,-122.31756,191.2,3.82,22.398477936686607
81,2016,SPS-District K-12,K-12 School,1,DELRIDGE,1999,1.0,3.0,74468,0,74468,K-12 School,75364.0,No Use,0.0,No Use,0.0,,0.0,Normal,47.5636,-122.358,11.84,0.16,0.0
82,2016,NonResidential,K-12 School,3,EAST,1923,1.0,3.0,67743,0,67743,K-12 School,67743.0,No Use,0.0,No Use,0.0,34.0,3036464.0,Normal,47.62548,-122.30828,78.85,1.16,21.53396130929515
83,2016,NonResidential,K-12 School,3,EAST,1908,1.0,6.0,194104,0,194104,K-12 School,194104.0,No Use,0.0,No Use,0.0,100.0,7204080.0,Normal,47.62644,-122.30429,243.23,1.25,22.780382971784544
84,2016,NonResidential,Small- and Mid-Sized Office,3,SOUTHEAST,2003,1.0,3.0,99433,35752,63681,Office,63681.0,Parking,35752.0,No Use,0.0,63.0,4980737.5,Normal,47.58408,-122.30125,34.14,0.34,22.24792823758088
85,2016,SPS-District K-12,K-12 School,2,SOUTHEAST,1991,1.0,2.0,58933,0,58933,K-12 School,60725.0,No Use,0.0,No Use,0.0,,0.0,Normal,47.57324,-122.29058,16.36,0.28,0.0
86,2016,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,1957,1.0,1.0,130862,0,130862,K-12 School,134446.0,No Use,0.0,No Use,0.0,61.0,7300977.5,Normal,47.56413,-122.31208,238.48,1.82,22.79965840078184
87,2016,SPS-District K-12,K-12 School,2,SOUTHEAST,1989,1.0,3.0,59955,0,59955,K-12 School,59955.0,No Use,0.0,No Use,0.0,93.0,1749171.25,Normal,47.55478,-122.27596,20.48,0.34,20.73824093519017
88,2016,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,1964,1.0,2.0,93218,0,93218,K-12 School,93218.0,No Use,0.0,No Use,0.0,86.0,3216155.0,Normal,47.63683,-122.35896,84.75,0.91,21.61690595561962
89,2016,NonResidential,Other,4,NORTHEAST,1941,1.0,4.0,56521,0,56521,Other,49000.0,No Use,0.0,No Use,0.0,,6367210.0,Normal,47.67524,-122.31534,44.32,0.78,22.602230143128104
90,2016,NonResidential,Other,4,NORTHEAST,1929,1.0,2.0,206934,0,206934,Other,119146.0,Parking,0.0,No Use,0.0,,4384625.5,Normal,47.67559,-122.31769,133.58,0.65,22.06402252270167
92,2016,SPS-District K-12,K-12 School,5,NORTHWEST,1963,1.0,2.0,131013,0,131013,K-12 School,131909.0,No Use,0.0,No Use,0.0,88.0,4290831.5,Normal,47.72463,-122.35315,124.92,0.95,22.032826153436357
93,2016,SPS-District K-12,K-12 School,5,NORTHWEST,1959,1.0,1.0,245587,0,245587,K-12 School,245587.0,No Use,0.0,No Use,0.0,92.0,12870916.0,Normal,47.7257,-122.33684,443.73,1.81,23.61761150753114
94,2016,NonResidential,Hotel,5,NORTHWEST,2002,1.0,3.0,69138,0,69138,Hotel,70609.0,No Use,0.0,No Use,0.0,78.0,3323400.5,Normal,47.72551,-122.3423,89.02,1.29,21.66422916481226
95,2016,SPS-District K-12,K-12 School,6,LAKE UNION,1991,1.0,3.0,66588,0,66588,K-12 School,66588.0,No Use,0.0,No Use,0.0,,0.0,Normal,47.65464,-122.34912,14.67,0.22,0.0
96,2016,NonResidential,Hotel,7,DOWNTOWN,1904,1.0,5.0,190980,0,190980,Hotel,190980.0,Parking,19051.0,No Use,0.0,98.0,6505995.0,Normal,47.6048,-122.3368,142.39,0.75,22.633338504709375
97,2016,Nonresidential COS,Other,7,DOWNTOWN,1998,1.0,6.0,284100,0,284100,Other - Entertainment/Public Assembly,189750.0,No Use,0.0,No Use,0.0,,14881950.0,Normal,47.60804,-122.3367,429.12,1.51,23.827060338071156
99,2016,SPS-District K-12,K-12 School,6,BALLARD,1991,1.0,2.0,55513,0,55513,K-12 School,59097.0,No Use,0.0,No Use,0.0,93.0,1598852.625,Normal,47.6706,-122.36225,10.55,0.19,20.608606435501503
100,2016,Nonresidential COS,Other,2,DOWNTOWN,2006,1.0,4.0,61156,0,61156,Other,42755.0,Office,29219.0,No Use,0.0,,9550716.0,Normal,47.60112,-122.32785,176.75,2.89,23.187177613835406
101,2016,NonResidential,Other,2,DOWNTOWN,1910,1.0,4.0,72820,13820,59000,Museum,58000.0,No Use,0.0,No Use,0.0,,2095175.25,Normal,47.59809,-122.32283,46.26,0.64,20.99864018045912
102,2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,1996,1.0,4.0,162222,14200,148022,Hotel,113702.0,Parking,32692.0,No Use,0.0,76.0,8016521.0,Normal,47.62614,-122.3467,228.4,1.41,22.934545022754
103,2016,SPS-District K-12,K-12 School,2,SOUTHEAST,1990,1.0,4.0,289588,0,289588,K-12 School,289588.0,No Use,0.0,No Use,0.0,90.0,9542598.0,Normal,47.57589,-122.29365,170.84,0.59,23.185950818128713
104,2016,NonResidential,University,3,EAST,1915,1.0,3.0,63330,0,63330,College/University,64820.0,No Use,0.0,No Use,0.0,,3284214.5,Normal,47.61495,-122.32177,74.33,1.17,21.64711736470448
107,2016,Nonresidential COS,Other,2,GREATER DUWAMISH,1950,1.0,1.0,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,No Use,0.0,No Use,0.0,,8086930.5,Normal,47.59545,-122.32146,204.08,3.03,22.947160960545727
108,2016,SPS-District K-12,K-12 School,3,CENTRAL,2008,1.0,3.0,254523,0,254523,K-12 School,254523.0,No Use,0.0,No Use,0.0,60.0,14810159.0,Normal,47.60598,-122.30156,359.09,1.41,23.820083890926053
110,2016,SPS-District K-12,K-12 School,3,CENTRAL,2002,1.0,3.0,66994,0,66994,K-12 School,66994.0,No Use,0.0,No Use,0.0,79.0,2579774.5,Normal,47.61224,-122.29087,41.74,0.62,21.29881409267464
111,2016,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,2000,1.0,3.0,98357,0,98357,K-12 School,98357.0,No Use,0.0,No Use,0.0,88.0,3783580.25,Normal,47.52915,-122.28904,94.64,0.96,21.851320995745066
112,2016,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1958,1.0,1.0,54765,0,54765,Office,25765.0,Other,25000.0,No Use,0.0,,4503671.5,Normal,47.53827,-122.28406,61.21,1.12,22.10267049003615
113,2016,NonResidential,Other,2,GREATER DUWAMISH,2009,1.0,5.0,89821,0,89821,Other - Lodging/Residential,46483.0,Office,37938.0,Food Service,4579.0,,2220796.5,Normal,47.53722,-122.284,100.46,1.12,21.082646418280746
114,2016,NonResidential,University,7,MAGNOLIA / QUEEN ANNE,1980,1.0,2.0,52611,0,52611,College/University,52611.0,No Use,0.0,No Use,0.0,,4390158.0,Normal,47.65147,-122.36122,104.26,1.98,22.065841760646887
115,2016,NonResidential,Residence Hall,7,MAGNOLIA / QUEEN ANNE,2001,1.0,4.0,139600,37500,102100,Residence Hall/Dormitory,135520.0,No Use,0.0,No Use,0.0,89.0,4800620.5,Normal,47.65068,-122.36331,129.39,0.93,22.194789762017376
116,2016,SPS-District K-12,K-12 School,5,NORTH,2011,1.0,2.0,236758,0,236758,K-12 School,238550.0,Parking,0.0,No Use,0.0,96.0,9287467.0,Normal,47.70763,-122.29453,222.78,0.94,23.146853904173703
117,2016,NonResidential,Other,3,CENTRAL,1971,3.0,6.0,250981,0,250981,Other,137565.0,Courthouse,78357.0,No Use,0.0,,14196194.0,Normal,47.60462,-122.31549,422.39,1.68,23.759000960826498
118,2016,SPS-District K-12,K-12 School,6,NORTHWEST,2002,1.0,3.0,62526,0,62526,K-12 School,62526.0,No Use,0.0,No Use,0.0,96.0,2192411.0,Normal,47.68725,-122.35996,54.07,0.86,21.06408750562634
121,2016,NonResidential,Retail Store,5,NORTH,1951,1.0,1.0,530039,0,530039,Retail Store,505103.0,Restaurant,24936.0,No Use,0.0,98.0,28763498.0,Normal,47.70759,-122.3255,723.47,1.36,24.77773585052069
122,2016,NonResidential,Other,5,NORTH,1964,1.0,3.0,54224,0,54224,Other/Specialty Hospital,47012.0,No Use,0.0,No Use,0.0,,7668810.0,Normal,47.7066,-122.321,231.53,4.27,22.87057148377013
123,2016,NonResidential,Retail Store,5,NORTH,1965,1.0,4.0,124342,0,124342,Retail Store,122000.0,No Use,0.0,No Use,0.0,76.0,8729918.0,Normal,47.70619,-122.32586,66.3,0.53,23.057536837286513
126,2016,SPS-District K-12,K-12 School,6,BALLARD,1999,1.0,2.0,242795,0,242795,K-12 School,242795.0,No Use,0.0,No Use,0.0,80.0,9708318.0,Normal,47.67661,-122.37489,123.71,0.51,23.210790083268197
127,2016,NonResidential,Self-Storage Facility,3,EAST,1910,1.0,5.0,84870,0,84870,Self-Storage Facility,85521.0,No Use,0.0,No Use,0.0,,1617801.25,Normal,47.61233,-122.3171,51.11,0.6,20.62560384187585
129,2016,SPS-District K-12,K-12 School,2,SOUTHEAST,1952,1.0,2.0,173185,0,173185,K-12 School,173185.0,No Use,0.0,No Use,0.0,79.0,7034167.5,Normal,47.54632,-122.28198,242.36,1.4,22.74594846374187
130,2016,SPS-District K-12,K-12 School,1,DELRIDGE,1963,1.0,1.0,145341,0,145341,K-12 School,139069.0,No Use,0.0,No Use,0.0,75.0,6337972.0,Normal,47.54862,-122.36214,206.01,1.42,22.59559008312304
131,2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1904,1.0,4.0,114297,0,114297,Non-Refrigerated Warehouse,114297.0,No Use,0.0,No Use,0.0,61.0,2415462.5,Normal,47.55152,-122.31869,69.44,0.61,21.203868621735293
132,2016,SPS-District K-12,K-12 School,2,SOUTHEAST,1960,1.0,2.0,184125,0,184125,K-12 School,184125.0,No Use,0.0,No Use,0.0,86.0,10067991.0,Normal,47.52407,-122.26586,328.97,1.79,23.26327263946183
133,2016,SPS-District K-12,K-12 School,6,BALLARD,1959,1.0,1.0,160270,0,160270,K-12 School,160270.0,No Use,0.0,No Use,0.0,,0.0,Normal,47.69675,-122.3776,229.38,1.43,0.0
134,2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1937,1.0,1.0,234144,0,234144,Non-Refrigerated Warehouse,234144.0,No Use,0.0,No Use,0.0,87.0,7874958.5,Normal,47.55901,-122.33328,297.43,1.27,22.908841073230516
135,2016,NonResidential,Retail Store,1,DELRIDGE,1966,1.0,1.0,64984,0,64984,Retail Store,65425.0,No Use,0.0,No Use,0.0,72.0,3016373.5,Normal,47.52254,-122.36627,35.78,0.55,21.52438412782181
136,2016,NonResidential,Retail Store,1,DELRIDGE,1965,1.0,1.0,67745,0,67745,Retail Store,67782.0,No Use,0.0,No Use,0.0,37.0,9589728.0,Normal,47.52254,-122.36627,369.14,5.45,23.193058615445544
137,2016,SPS-District K-12,K-12 School,1,DELRIDGE,2010,1.0,2.0,367884,0,367884,K-12 School,367884.0,No Use,0.0,No Use,0.0,97.0,13279344.0,Normal,47.52915,-122.36511,272.85,0.74,23.66268065211953
138,2016,SPS-District K-12,K-12 School,1,DELRIDGE,1958,1.0,1.0,46797,0,46797,K-12 School,46797.0,No Use,0.0,No Use,0.0,86.0,2380144.5,Normal,47.51778,-122.37074,73.47,1.57,21.18261833853482
139,2016,SPS-District K-12,K-12 School,3,CENTRAL,1963,1.0,3.0,136188,0,136188,K-12 School,136188.0,No Use,0.0,No Use,0.0,,0.0,Normal,47.59796,-122.30415,170.9,1.25,0.0
140,2016,NonResidential,Other,6,BALLARD,1973,1.0,3.0,56000,0,56000,Other,56000.0,No Use,0.0,No Use,0.0,,2088978.125,Normal,47.67767,-122.39631,59.34,1.06,20.99436664506598
141,2016,SPS-District K-12,K-12 School,2,SOUTHEAST,2004,1.0,2.0,67371,0,67371,K-12 School,67371.0,No Use,0.0,No Use,0.0,92.0,2260359.75,Normal,47.54174,-122.27691,46.36,0.69,21.10812161218681
142,2016,NonResidential,Self-Storage Facility,1,SOUTHWEST,1969,1.0,2.0,52088,0,52088,Self-Storage Facility,52088.0,No Use,0.0,No Use,0.0,,1576122.875,Normal,47.54508,-122.37737,48.99,0.94,20.587949496773934
143,2016,SPS-District K-12,K-12 School,4,LAKE UNION,2010,1.0,3.0,127776,0,127776,K-12 School,127776.0,No Use,0.0,No Use,0.0,75.0,4998584.5,Normal,47.65708,-122.33803,80.08,0.63,22.2530884680424
145,2016,Nonresidential COS,Other,3,LAKE UNION,1900,1.0,1.0,50000,0,50000,Museum,43000.0,No Use,0.0,No Use,0.0,,7942537.5,Normal,47.62759,-122.33661,225.69,4.51,22.921168747479744
146,2016,Nonresidential COS,Warehouse,7,MAGNOLIA / QUEEN ANNE,1926,1.0,2.0,50292,0,50292,Non-Refrigerated Warehouse,42345.0,Residence Hall/Dormitory,5000.0,Office,4730.0,,430473.6875,Normal,47.62591,-122.34084,3.0,0.06,18.715568882112677
147,2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,1998,1.0,7.0,207656,54341,153315,Hotel,141591.0,No Use,0.0,No Use,0.0,76.0,11754087.0,Normal,47.62782,-122.34045,338.16,1.63,23.486659268798384
148,2016,SPS-District K-12,K-12 School,6,BALLARD,1999,1.0,2.0,67235,0,67235,K-12 School,67235.0,No Use,0.0,No Use,0.0,89.0,2443194.0,Normal,47.68359,-122.37308,49.12,0.73,21.22033758409835
149,2016,Nonresidential COS,Small- and Mid-Sized Office,5,NORTHWEST,1957,1.0,2.0,91130,0,91130,Office,57968.0,Distribution Center,32881.0,Parking,11850.0,,10005492.0,Normal,47.70044,-122.34136,175.77,1.93,23.254288919024628
